precio_loc,farmacia,producto,busqueda,hora_consulta,pais,tipo_cambio,precio,farmaca_corto,product_name,num_prod,presentacion,unit,quantity
350.0,pricepropharmacy.com/,sorafenib,sorafenib,13:56:14 22/09/2023,Canada,16.7667,5868.34,pchecker,sorafenib,30,tableta,mg,200.0
990.0,pricepropharmacy.com/,sorafenib,sorafenib,13:56:14 22/09/2023,Canada,16.7667,16599.03,pchecker,sorafenib,90,tableta,mg,200.0
5748.99,canadianpharmacystore.com,nexavar,sorafenib,13:56:30 22/09/2023,Canada,16.7667,96391.59,pchecker,nexavar,120,tableta,mg,200.0
16615.99,canadianpharmacystore.com,nexavar,sorafenib,13:56:30 22/09/2023,Canada,16.7667,278595.32,pchecker,nexavar,360,tableta,mg,200.0
5750.900000000001,discountcanadadrugs.com/,nexavar,sorafenib,13:56:30 22/09/2023,Canada,16.7667,96423.62,pchecker,nexavar,120,tableta,mg,200.0
16620.36,discountcanadadrugs.com/,nexavar,sorafenib,13:56:30 22/09/2023,Canada,16.7667,278668.59,pchecker,nexavar,360,tableta,mg,200.0
4151.58,liferxpharmacy.com/,nexavar,sorafenib,13:56:30 22/09/2023,Canada,16.7667,69608.3,pchecker,nexavar,112,tableta,mg,200.0
7472.84,liferxpharmacy.com/,nexavar,sorafenib,13:56:30 22/09/2023,Canada,16.7667,125294.87,pchecker,nexavar,224,tableta,mg,200.0
4649.76,medsengage.com,nexavar,sorafenib,13:56:30 22/09/2023,Canada,16.7667,77961.13,pchecker,nexavar,112,tableta,mg,200.0
8369.58,medsengage.com,nexavar,sorafenib,13:56:30 22/09/2023,Canada,16.7667,140330.24,pchecker,nexavar,224,tableta,mg,200.0
4815.83,offshorecheapmeds.com,nexavar,sorafenib,13:56:30 22/09/2023,Canada,16.7667,80745.58,pchecker,nexavar,112,tableta,mg,200.0
8668.49,offshorecheapmeds.com,nexavar,sorafenib,13:56:30 22/09/2023,Canada,16.7667,145341.97,pchecker,nexavar,224,tableta,mg,200.0
6230.0,pricepropharmacy.com/,nexavar,sorafenib,13:56:30 22/09/2023,Canada,16.7667,104456.54,pchecker,nexavar,120,tableta,mg,200.0
7339.5,spfpharmacy.com,nexavar,sorafenib,13:56:30 22/09/2023,Canada,16.7667,123059.19,pchecker,nexavar,120,tableta,mg,200.0
96.51,1800rxonline.com/,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,1618.15,pchecker,capecitabina,30,tableta,mg,500.0
148.0,buylowdrugs.com/,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,2481.47,pchecker,capecitabina,120,tableta,mg,500.0
146.99,canadianpharmacystore.com,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,2464.54,pchecker,capecitabina,120,tableta,mg,500.0
102.0,canadianprescriptiondrugstore.com/,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,1710.2,pchecker,capecitabina,120,tableta,mg,500.0
136.45000000000002,discountcanadadrugs.com/,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,2287.82,pchecker,capecitabina,120,tableta,mg,500.0
241.4,medsengage.com,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,4047.48,pchecker,capecitabina,60,capsula,mg,500.0
301.75,medsengage.com,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,5059.35,pchecker,capecitabina,90,capsula,mg,500.0
232.47,offshorecheapmeds.com,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,3897.75,pchecker,capecitabina,60,tableta,mg,500.0
290.59000000000003,offshorecheapmeds.com,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,4872.24,pchecker,capecitabina,90,tableta,mg,500.0
95.0,pricepropharmacy.com/,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,1592.84,pchecker,capecitabina,60,tableta,mg,500.0
